regime,D_v,n_runs,net_mass_change_projection_mean,net_mass_change_projection_std,net_mass_change_projection_min,net_mass_change_projection_max,expected_net_change_mean,expected_net_change_std,expected_net_change_min,expected_net_change_max,bookkeeping_error_mean,bookkeeping_error_std,bookkeeping_error_min,bookkeeping_error_max,mass_added_low_mean,mass_added_low_std,mass_added_low_min,mass_added_low_max,mass_removed_high_mean,mass_removed_high_std,mass_removed_high_min,mass_removed_high_max,mass_removed_simplex_mean,mass_removed_simplex_std,mass_removed_simplex_min,mass_removed_simplex_max,mass_added_transfer_fallback_mean,mass_added_transfer_fallback_std,mass_added_transfer_fallback_min,mass_added_transfer_fallback_max,mass_roundoff_cleanup_mean,mass_roundoff_cleanup_std,mass_roundoff_cleanup_min,mass_roundoff_cleanup_max,mass_after_projection_mean,mass_after_projection_std,mass_after_projection_min,mass_after_projection_max,mass_before_projection_mean,mass_before_projection_std,mass_before_projection_min,mass_before_projection_max,mass_redistributed_high_global_mean,mass_redistributed_high_global_std,mass_redistributed_high_global_min,mass_redistributed_high_global_max,mass_redistributed_high_local_mean,mass_redistributed_high_local_std,mass_redistributed_high_local_min,mass_redistributed_high_local_max,mass_redistributed_low_global_mean,mass_redistributed_low_global_std,mass_redistributed_low_global_min,mass_redistributed_low_global_max,mass_redistributed_low_local_mean,mass_redistributed_low_local_std,mass_redistributed_low_local_min,mass_redistributed_low_local_max,mass_redistributed_simplex_global_mean,mass_redistributed_simplex_global_std,mass_redistributed_simplex_global_min,mass_redistributed_simplex_global_max,mass_redistributed_simplex_local_mean,mass_redistributed_simplex_local_std,mass_redistributed_simplex_local_min,mass_redistributed_simplex_local_max,mass_transferred_A_to_vacancy_mean,mass_transferred_A_to_vacancy_std,mass_transferred_A_to_vacancy_min,mass_transferred_A_to_vacancy_max,mass_transferred_AtoB_mean,mass_transferred_AtoB_std,mass_transferred_AtoB_min,mass_transferred_AtoB_max,mass_transferred_B_to_vacancy_mean,mass_transferred_B_to_vacancy_std,mass_transferred_B_to_vacancy_min,mass_transferred_B_to_vacancy_max,mass_transferred_BtoA_mean,mass_transferred_BtoA_std,mass_transferred_BtoA_min,mass_transferred_BtoA_max,mass_transferred_high_to_vacancy_mean,mass_transferred_high_to_vacancy_std,mass_transferred_high_to_vacancy_min,mass_transferred_high_to_vacancy_max,mass_transferred_low_mean,mass_transferred_low_std,mass_transferred_low_min,mass_transferred_low_max,mass_transferred_simplex_to_vacancy_mean,mass_transferred_simplex_to_vacancy_std,mass_transferred_simplex_to_vacancy_min,mass_transferred_simplex_to_vacancy_max,mass_transferred_to_vacancy_mean,mass_transferred_to_vacancy_std,mass_transferred_to_vacancy_min,mass_transferred_to_vacancy_max,max_high_violation_mean,max_high_violation_std,max_high_violation_min,max_high_violation_max,max_low_violation_mean,max_low_violation_std,max_low_violation_min,max_low_violation_max,max_simplex_violation_mean,max_simplex_violation_std,max_simplex_violation_min,max_simplex_violation_max,n_calls_mean,n_calls_std,n_calls_min,n_calls_max,n_expensive_projection_calls_mean,n_expensive_projection_calls_std,n_expensive_projection_calls_min,n_expensive_projection_calls_max,n_high_entries_mean,n_high_entries_std,n_high_entries_min,n_high_entries_max,n_low_entries_mean,n_low_entries_std,n_low_entries_min,n_low_entries_max,n_redistribute_high_failures_mean,n_redistribute_high_failures_std,n_redistribute_high_failures_min,n_redistribute_high_failures_max,n_redistribute_low_failures_mean,n_redistribute_low_failures_std,n_redistribute_low_failures_min,n_redistribute_low_failures_max,n_redistribute_simplex_failures_mean,n_redistribute_simplex_failures_std,n_redistribute_simplex_failures_min,n_redistribute_simplex_failures_max,n_roundoff_cleanup_calls_mean,n_roundoff_cleanup_calls_std,n_roundoff_cleanup_calls_min,n_roundoff_cleanup_calls_max,n_simplex_cells_mean,n_simplex_cells_std,n_simplex_cells_min,n_simplex_cells_max,n_transfer_fallback_entries_mean,n_transfer_fallback_entries_std,n_transfer_fallback_entries_min,n_transfer_fallback_entries_max,redistribute_high_leftover_mean,redistribute_high_leftover_std,redistribute_high_leftover_min,redistribute_high_leftover_max,redistribute_low_leftover_mean,redistribute_low_leftover_std,redistribute_low_leftover_min,redistribute_low_leftover_max,redistribute_simplex_leftover_mean,redistribute_simplex_leftover_std,redistribute_simplex_leftover_min,redistribute_simplex_leftover_max,mean_abs_net_mass_change_projection,max_abs_net_mass_change_projection,fraction_runs_nonzero_net_drift
integrating,0.010,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23667139287.61987,19361839.437896937,23629980287.73493,23694638091.90934,23667139287.61987,19361839.437896937,23629980287.73493,23694638091.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.020,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23667104530.90342,19381761.634883456,23629980287.73493,23694638091.90934,23667104530.90342,19381761.634883456,23629980287.73493,23694638091.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.030,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23670043971.07035,15335138.651262177,23645666345.90839,23694638091.90934,23670043971.07035,15335138.651262177,23645666345.90839,23694638091.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.040,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23672229200.786705,14645266.417380994,23645666345.90839,23694638091.90934,23672229200.786705,14645266.417380994,23645666345.90839,23694638091.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.050,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23673668978.92291,12516039.421139218,23655844406.29293,23694638091.90934,23673668978.92291,12516039.421139218,23655844406.29293,23694638091.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.060,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23672263937.978443,12412017.961097946,23655844406.29293,23694638091.90934,23672263937.978443,12412017.961097946,23655844406.29293,23694638091.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.070,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23669577427.222008,12829372.28472251,23655527480.916645,23694638091.90934,23669577427.222008,12829372.28472251,23655527480.916645,23694638091.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.080,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23665827849.348534,10158394.246678948,23655527480.916645,23682194017.58096,23665827849.348534,10158394.246678948,23655527480.916645,23682194017.58096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.090,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23664779622.21171,11005975.978011532,23651505993.933327,23682194017.58096,23664779622.21171,11005975.978011532,23651505993.933327,23682194017.58096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integrating,0.100,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23664011705.900246,9984646.707047407,23651505993.933327,23681948811.65985,23664011705.900246,9984646.707047407,23651505993.933327,23681948811.65985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
