regime,D_v,n_run,diag_path,history_path,history_records,projection_mode,projection_floor,projection_tol,dt,nsteps,frames,noise,runtime_seconds,net_mass_change_projection,expected_net_change,bookkeeping_error,mass_added_low,mass_removed_high,mass_removed_simplex,mass_added_transfer_fallback,mass_roundoff_cleanup,mass_after_projection,mass_before_projection,mass_redistributed_high_global,mass_redistributed_high_local,mass_redistributed_low_global,mass_redistributed_low_local,mass_redistributed_simplex_global,mass_redistributed_simplex_local,mass_transferred_A_to_vacancy,mass_transferred_AtoB,mass_transferred_B_to_vacancy,mass_transferred_BtoA,mass_transferred_high_to_vacancy,mass_transferred_low,mass_transferred_simplex_to_vacancy,mass_transferred_to_vacancy,max_high_violation,max_low_violation,max_simplex_violation,n_calls,n_expensive_projection_calls,n_high_entries,n_low_entries,n_redistribute_high_failures,n_redistribute_low_failures,n_redistribute_simplex_failures,n_roundoff_cleanup_calls,n_simplex_cells,n_transfer_fallback_entries,redistribute_high_leftover,redistribute_low_leftover,redistribute_simplex_leftover
segregating,0.01,0,data/segregating/VS_run_0_det_Dv0.010_projection_diag.json,data/segregating/VS_run_0_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2684.746741294861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23655443532.76255,23655443532.76255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,1,data/segregating/VS_run_1_det_Dv0.010_projection_diag.json,data/segregating/VS_run_1_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2601.049535036087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23655894904.91769,23655894904.91769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,2,data/segregating/VS_run_2_det_Dv0.010_projection_diag.json,data/segregating/VS_run_2_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2659.9043378829956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23649565879.689205,23649565879.689205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,3,data/segregating/VS_run_3_det_Dv0.010_projection_diag.json,data/segregating/VS_run_3_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2737.070315361023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23661757146.526913,23661757146.526913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,4,data/segregating/VS_run_4_det_Dv0.010_projection_diag.json,data/segregating/VS_run_4_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2617.7925667762756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23643371670.854805,23643371670.854805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,5,data/segregating/VS_run_5_det_Dv0.010_projection_diag.json,data/segregating/VS_run_5_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2727.794734477997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23648374298.061058,23648374298.061058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,6,data/segregating/VS_run_6_det_Dv0.010_projection_diag.json,data/segregating/VS_run_6_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2644.047600746155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23659578783.24817,23659578783.24817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,7,data/segregating/VS_run_7_det_Dv0.010_projection_diag.json,data/segregating/VS_run_7_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2536.7342689037323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23652187851.504158,23652187851.504158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,8,data/segregating/VS_run_8_det_Dv0.010_projection_diag.json,data/segregating/VS_run_8_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2642.001969099045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23689998583.526245,23689998583.526245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.01,9,data/segregating/VS_run_9_det_Dv0.010_projection_diag.json,data/segregating/VS_run_9_det_Dv0.010_projection_history.csv,800,clip,0.0,1e-14,0.001,2000000,800,False,2578.5188722610474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23647975751.671154,23647975751.671154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
