regime,D_v,n_runs,reference_mass_mean,reference_mass_std,net_mass_change_projection_mean,net_mass_change_projection_std,relative_mass_redistributed_total_mean,relative_mass_redistributed_total_std,relative_mass_redistributed_local_total_mean,relative_mass_redistributed_local_total_std,relative_mass_redistributed_global_total_mean,relative_mass_redistributed_global_total_std,global_redistributed_mass_fraction_mean,global_redistributed_mass_fraction_std,relative_mass_redistributed_low_local_mean,relative_mass_redistributed_low_local_std,relative_mass_redistributed_low_global_mean,relative_mass_redistributed_low_global_std,relative_mass_redistributed_simplex_local_mean,relative_mass_redistributed_simplex_local_std,relative_mass_redistributed_simplex_global_mean,relative_mass_redistributed_simplex_global_std,relative_mass_redistributed_high_local_mean,relative_mass_redistributed_high_local_std,relative_mass_redistributed_high_global_mean,relative_mass_redistributed_high_global_std,n_redistribute_low_local_events_mean,n_redistribute_low_local_events_std,n_redistribute_low_global_events_mean,n_redistribute_low_global_events_std,n_redistribute_simplex_local_events_mean,n_redistribute_simplex_local_events_std,n_redistribute_simplex_global_events_mean,n_redistribute_simplex_global_events_std,n_redistribute_high_local_events_mean,n_redistribute_high_local_events_std,n_redistribute_high_global_events_mean,n_redistribute_high_global_events_std,n_redistribute_local_events_total_mean,n_redistribute_local_events_total_std,n_redistribute_global_events_total_mean,n_redistribute_global_events_total_std,global_fallback_event_fraction_mean,global_fallback_event_fraction_std,n_redistribute_low_failures_mean,n_redistribute_low_failures_std,n_redistribute_high_failures_mean,n_redistribute_high_failures_std,n_redistribute_simplex_failures_mean,n_redistribute_simplex_failures_std,n_redistribute_failures_total_mean,n_redistribute_failures_total_std,global_failure_per_global_event_mean,global_failure_per_global_event_std,redistribute_low_leftover_mean,redistribute_low_leftover_std,redistribute_high_leftover_mean,redistribute_high_leftover_std,redistribute_simplex_leftover_mean,redistribute_simplex_leftover_std,bookkeeping_error_mean,bookkeeping_error_std,expected_net_change_mean,expected_net_change_std,mass_added_low_mean,mass_added_low_std,mass_added_transfer_fallback_mean,mass_added_transfer_fallback_std,mass_after_projection_mean,mass_after_projection_std,mass_before_projection_mean,mass_before_projection_std,mass_redistributed_global_total_mean,mass_redistributed_global_total_std,mass_redistributed_high_global_mean,mass_redistributed_high_global_std,mass_redistributed_high_local_mean,mass_redistributed_high_local_std,mass_redistributed_local_total_mean,mass_redistributed_local_total_std,mass_redistributed_low_global_mean,mass_redistributed_low_global_std,mass_redistributed_low_local_mean,mass_redistributed_low_local_std,mass_redistributed_simplex_global_mean,mass_redistributed_simplex_global_std,mass_redistributed_simplex_local_mean,mass_redistributed_simplex_local_std,mass_redistributed_total_mean,mass_redistributed_total_std,mass_removed_high_mean,mass_removed_high_std,mass_removed_simplex_mean,mass_removed_simplex_std,mass_roundoff_cleanup_mean,mass_roundoff_cleanup_std,mass_transferred_A_to_vacancy_mean,mass_transferred_A_to_vacancy_std,mass_transferred_AtoB_mean,mass_transferred_AtoB_std,mass_transferred_B_to_vacancy_mean,mass_transferred_B_to_vacancy_std,mass_transferred_BtoA_mean,mass_transferred_BtoA_std,mass_transferred_high_to_vacancy_mean,mass_transferred_high_to_vacancy_std,mass_transferred_low_mean,mass_transferred_low_std,mass_transferred_simplex_to_vacancy_mean,mass_transferred_simplex_to_vacancy_std,mass_transferred_to_vacancy_mean,mass_transferred_to_vacancy_std,max_high_violation_mean,max_high_violation_std,max_low_violation_mean,max_low_violation_std,max_simplex_violation_mean,max_simplex_violation_std,n_calls_mean,n_calls_std,n_expensive_projection_calls_mean,n_expensive_projection_calls_std,n_high_entries_mean,n_high_entries_std,n_low_entries_mean,n_low_entries_std,n_roundoff_cleanup_calls_mean,n_roundoff_cleanup_calls_std,n_simplex_cells_mean,n_simplex_cells_std,n_transfer_fallback_entries_mean,n_transfer_fallback_entries_std
segregating,0.010,10,11646.894518629284,6.392617525939979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46587578076.35352,25570469.628995247,46587578076.35352,25570469.628995247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.020,10,11646.859957210976,6.391172231442026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46587439830.47136,25564688.452731263,46587439830.47136,25564688.452731263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.030,10,11647.802578304356,7.008060654959403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46591210314.872025,28032241.796421524,46591210314.872025,28032241.796421524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.040,10,11647.30432613767,7.433736112329442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46589217305.593155,29734944.239878558,46589217305.593155,29734944.239878558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.050,10,11646.759390250192,7.549013445034687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46587037562.10692,30196053.43410929,46587037562.10692,30196053.43410929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.060,10,11647.033522152702,7.3337084583088155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46588134089.46695,29334833.748774547,46588134089.46695,29334833.748774547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.070,10,11646.999688873142,7.344328282956898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46587998756.26386,29377313.09084058,46587998756.26386,29377313.09084058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.080,10,11647.788009390115,7.823134761374058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46591152038.02358,31292538.55720064,46591152038.02358,31292538.55720064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.090,10,11648.819691032442,7.804826266207594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46595278764.47829,31219305.06327401,46595278764.47829,31219305.06327401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
segregating,0.100,10,11646.737043178002,5.922006927307998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46586948172.97078,23688027.044322673,46586948172.97078,23688027.044322673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
